Frame,Caption
Frame 1,"Here’s a one-sentence summary of the image: Two young women with glasses are sitting close together, one looking down at her phone while the other appears to be talking to her."
Frame 2,Two young women with dark hair and glasses are smiling and making a silly face at the camera while holding a phone.
Frame 3,"Here’s a one-sentence summary of frame 3: Two young women are looking at a phone, with one of them holding her finger up as if pointing at the screen."
Frame 4,"Here’s a one-sentence summary of frame 4: Two women with dark hair and glasses are looking at the camera with a slight smile, suggesting they are speaking or interacting within the video."
Frame 5,"Here’s a one-sentence summary of frame 5: Two young women with long hair and glasses are sitting side-by-side, one looking at her phone while the other watches her."
Frame 6,Here’s a one-sentence summary of frame 6: Two young women with dark hair and glasses are looking at a smartphone while gesturing with their hands.
Frame 7,"Here's a one-sentence summary of frame 7: Two young women with dark hair and glasses are smiling and holding up their phones, seemingly looking at something on the screen."
Frame 8,Here’s a one-sentence summary of frame 8: Two women with long hair and glasses are smiling and looking at a smartphone together.
Frame 9,"Here's a one-sentence summary of frame 9: Two women with long hair are shown in a video call, with one looking at her phone and the other speaking."
Frame 10,"Here's a one-sentence summary of frame 10: Two women, one looking at a phone and the other with a neutral expression, are seen together in a video call."
Frame 11,"Here’s a one-sentence summary of frame 11: Two women with long dark hair are sitting side-by-side, one looking intently at a smartphone while the other observes her."
Frame 12,"Here’s a one-sentence summary of frame 12: Two young women are smiling and looking at the camera, with one holding up a phone."
Frame 13,Here’s a one-sentence summary of frame 13: Two women with long hair and glasses are smiling at the camera while holding up a smartphone.
Frame 14,"Here’s a one-sentence summary of frame 14: Two women are taking a selfie with a phone, one smiling and the other playfully covering her eyes."
Frame 15,"Here’s a one-sentence summary of frame 15: Two women with dark hair and glasses are taking a selfie with a smartphone, smiling at the camera."
Frame 16,"Here’s a one-sentence summary of frame 16: Two women, one wearing a pink shirt and the other in a blue shirt with Donald Duck on it, are taking a selfie with a smartphone."
